# page_id, page_title, page_namespace, rev_id, rev_timestamp, rev_datetime, text_id, txt, txt_ru
'5189', 'Гл_ru_2a', '10', '8256', '20160805143409', '2016/08/05 14:34:09', '8242', '{{Гл-блок\n<noinclude>|шаблон-кат=1</noinclude>\n|Я          ={{{основа1}}}ю\n|Я (прош.) ={{{основа}}}л<br />{{{основа}}}ла\n|Мы ={{{основа1}}}ем\n|Мы (прош.) ={{{основа}}}ли\n|Ты ={{{основа1}}}ешь\n|Ты (прош.) ={{{основа}}}л<br />{{{основа}}}ла\n|Ты (повел.)={{{основа1}}}й\n|Вы ={{{основа1}}}ете\n|Вы (прош.) ={{{основа}}}ли\n|Вы (повел.)={{{основа1}}}йте\n|Он/она/оно ={{{основа1}}}ет\n|Он/она/оно (прош.)={{{основа}}}л<br />{{{основа}}}ла<br />{{{основа}}}ло\n|Они ={{{основа1}}}ют\n|Они (прош.)={{{основа}}}ли\n|ПричНаст = {{{основа1}}}ющий\n|ПричПрош = {{{основа}}}вший\n|ДеепрНаст = {{{основа1}}}я\n|ДеепрПрош = {{{основа}}}в, {{{основа}}}вши\n|ПричСтрад = {{{основа1}}}емый\n|ПричСтрадПрош = {{#if:{{{2в|}}}|{{{основа2|{{Str crop|{{{основа}}}|1}}}}}анный|{{{ПричСтрадПрош|}}}}}\n|Будущее = буду/будешь… {{{основа}}}ть\n|Инфинитив = {{{основа}}}ть\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|дореф={{{дореф|}}}\n|спряжение=2a\n|вид={{#if:{{{2в|}}}|2|н}}\n|НП={{{НП|}}}\n|соотв={{{соотв|}}}\n|соотв-мн={{{соотв-мн|}}}\n|коммент={{{коммент|}}}\n}}', NULL
'5190', 'Гл_ru_1a', '10', '8257', '20220505184641', '2022/05/05 18:46:41', '8243', '{{Гл-блок\n<noinclude>|шаблон-кат=1</noinclude>\n|Я          ={{{основа|{{{1}}}}}}ю\n|Я (прош.)  ={{{основа|{{{1}}}}}}л<br />{{{основа|{{{1}}}}}}ла\n|Мы         ={{{основа|{{{1}}}}}}ем\n|Мы (прош.) ={{{основа|{{{1}}}}}}ли\n|Ты         ={{{основа|{{{1}}}}}}ешь\n|Ты (прош.) ={{{основа|{{{1}}}}}}л<br />{{{основа|{{{1}}}}}}ла\n|Ты (повел.)={{{основа|{{{1}}}}}}й\n|Вы         ={{{основа|{{{1}}}}}}ете\n|Вы (прош.) ={{{основа|{{{1}}}}}}ли\n|Вы (повел.)={{{основа|{{{1}}}}}}йте\n|Он/она/оно ={{{основа|{{{1}}}}}}ет\n|Он/она/оно (прош.)={{#if:{{{безличный|}}}||{{{основа|{{{1}}}}}}л<br />{{{основа|{{{1}}}}}}ла<br />}}{{{основа|{{{1}}}}}}ло\n|Они        ={{{основа|{{{1}}}}}}ют\n|Они (прош.)={{{основа|{{{1}}}}}}ли\n|ПричНаст   = {{{основа|{{{1}}}}}}ющий\n|ПричПрош   = {{{основа|{{{1}}}}}}вший\n|ДеепрНаст  = {{{основа|{{{1}}}}}}я\n|ДеепрПрош  = {{{основа|{{{1}}}}}}в, {{{основа|{{{1}}}}}}вши\n|ПричСтрад  = {{#if:{{{ПричСтрад|}}}|{{{ПричСтрад}}}|{{{основа|{{{1}}}}}}емый}}\n|ПричСтрадПрош  = {{{ПричСтрадПрош|{{#if:{{{основа1|}}}|{{{основа1}}}нный|—}}}}}\n|Будущее    = {{#if:{{{безличный|}}}|будет|буду/будешь…}} {{{основа|{{{1}}}}}}ть\n|Инфинитив = {{{основа|{{{1}}}}}}ть\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|дореф={{{дореф|}}}\n|спряжение=1a\n|вид={{#if:{{{2в|}}}|2|н}}\n|НП={{{НП|}}}\n|соотв={{{соотв|}}}\n|соотв-мн={{{соотв-мн|}}}\n|безличный={{{безличный|}}}\n|многократный={{{многократный|}}}\n|коммент={{{коммент|}}}\n|ПричСтрадЗатрудн={{{ПричСтрадЗатрудн|}}}\n}}', NULL
'5198', 'Гл_ru_1a-ся', '10', '8265', '20190602065212', '2019/06/02 06:52:12', '8251', '{{Гл-блок\n<noinclude>|шаблон-кат=1</noinclude>\n|Я          ={{{основа}}}юсь\n|Я (прош.)  ={{{основа}}}лся<br />{{{основа}}}лась\n|Мы         ={{{основа}}}емся\n|Мы (прош.) ={{{основа}}}лись\n|Ты         ={{{основа}}}ешься\n|Ты (прош.) ={{{основа}}}лся<br />{{{основа}}}лась\n|Ты (повел.)={{{основа}}}йся\n|Вы         ={{{основа}}}етесь\n|Вы (прош.) ={{{основа}}}лись\n|Вы (повел.)={{{основа}}}йтесь\n|Он/она/оно ={{{основа}}}ется\n|Он/она/оно (прош.)={{#if:{{{безличный|}}}||{{{основа}}}лся<br />{{{основа}}}лась<br />}}{{{основа}}}лось\n|Они        ={{{основа}}}ются\n|Они (прош.)={{{основа}}}лись\n|ПричНаст   = {{{основа}}}ющийся\n|ПричПрош   = {{{основа}}}вшийся\n|ДеепрНаст  = {{{основа}}}ясь\n|ДеепрПрош = {{{основа}}}вшись\n|Будущее    = буду/будешь... {{{основа}}}ться\n|Инфинитив = {{{основа}}}ться\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|дореф={{{дореф|}}}\n|спряжение=1a\n|вид={{#if:{{{2в|}}}|2|н}}\n|возвратный=1\n|НП=1\n|соотв={{{соотв|}}}\n|соотв-мн={{{соотв-мн|}}}\n|коммент={{#if:{{{2в|}}}|В соверш. в. деепр.&#160;— \'\'{{{основа}}}вшись\'\'.}}{{{коммент|}}}\n|безличный={{{безличный|}}}\n|многократный={{{многократный|}}}\n}}', NULL
'5199', 'Гл_ru_2b', '10', '8266', '20150316132421', '2015/03/16 13:24:21', '8252', '{{Гл-блок\n<noinclude>|шаблон-кат=1</noinclude>\n|Я          ={{{основа1}}}ю́\n|Я (прош.)  ={{{основа}}}а́л<br />{{{основа}}}а́ла\n|Мы         ={{{основа1}}}ём\n|Мы (прош.) ={{{основа}}}а́ли\n|Ты         ={{{основа1}}}ёшь\n|Ты (прош.) ={{{основа}}}а́л<br />{{{основа}}}а́ла\n|Ты (повел.)={{{основа2}}}й\n|Вы         ={{{основа1}}}ёте\n|Вы (прош.) ={{{основа}}}а́ли\n|Вы (повел.)={{{основа2}}}йте\n|Он/она/оно ={{{основа1}}}ёт\n|Он/она/оно (прош.)={{#if:{{{безличный|}}}||{{{основа}}}а́л<br />{{{основа}}}а́ла<br />}}{{{основа}}}а́ло\n|Они        ={{{основа1}}}ю́т\n|Они (прош.)={{{основа}}}а́ли\n|ПричНаст   = {{{основа1}}}ю́щий\n|ПричПрош   = {{{основа}}}а́вший\n|ДеепрНаст  = {{{основа1}}}я́\n|ДеепрПрош  = {{{основа}}}а́в, {{{основа}}}а́вши\n|ПричСтрад  = —\n|ПричСтрадПрош  = {{{основа3}}}анный\n|Будущее    = буду/будешь... {{{основа}}}а́ть\n|Инфинитив = {{{основа}}}а́ть\n|слоги={{{слоги|}}}\n|дореф={{{дореф|}}}\n|спряжение=2b\n|hide-text={{{hide-text|}}}\n|вид=н\n|НП={{{НП|}}}\n|соотв={{{соотв|}}}\n|соотв-мн={{{соотв-мн|}}}\n|безличный={{{безличный|}}}\n}}', NULL
'5383', 'Гл_ru_3b', '10', '8450', '20150316132346', '2015/03/16 13:23:46', '8436', '{{Гл-блок\n<noinclude>|шаблон-кат=1</noinclude>\n|Я          ={{{основа}}}у́\n|Я (прош.)  ={{{основа}}}у́л<br />{{{основа}}}у́ла\n|Мы         ={{{основа}}}ём\n|Мы (прош.) ={{{основа}}}у́ли\n|Ты         ={{{основа}}}ёшь\n|Ты (прош.) ={{{основа}}}у́л<br />{{{основа}}}у́ла\n|Ты (повел.)={{{основа}}}и́\n|Вы         ={{{основа}}}ёте\n|Вы (прош.) ={{{основа}}}у́ли\n|Вы (повел.)={{{основа}}}и́те\n|Он/она/оно ={{{основа}}}ёт\n|Он/она/оно (прош.)={{{основа}}}у́л<br />{{{основа}}}у́ла<br />{{{основа}}}у́ло\n|Они        ={{{основа}}}у́т\n|Они (прош.)={{{основа}}}у́ли\n|ПричНаст   = {{{основа}}}у́щий\n|ПричПрош   = {{{основа}}}у́вший\n|ДеепрНаст  = {{-}}\n|ДеепрПрош={{{основа}}}у́в, {{{основа}}}у́вши\n|ПричСтрад  = —\n|Будущее    = буду/будешь... {{{основа}}}у́ть\n|Инфинитив = {{{основа}}}у́ть\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|дореф={{{дореф|}}}\n|спряжение=3b\n|вид=н\n|НП={{{НП|}}}\n|соотв={{{соотв|}}}\n|соотв-мн={{{соотв-мн|}}}\n}}', NULL
'5384', 'Гл_ru_3b-ся', '10', '8451', '20150316132344', '2015/03/16 13:23:44', '8437', '{{Гл-блок\n<noinclude>|шаблон-кат=1</noinclude>\n|Я          ={{{основа}}}у́сь\n|Я (прош.)  ={{{основа}}}у́лся<br />{{{основа}}}у́лась\n|Мы         ={{{основа}}}ёмся\n|Мы (прош.) ={{{основа}}}у́лись\n|Ты         ={{{основа}}}ёшься\n|Ты (прош.) ={{{основа}}}у́лся<br />{{{основа}}}у́лась\n|Ты (повел.)={{{основа}}}и́сь\n|Вы         ={{{основа}}}ётесь\n|Вы (прош.) ={{{основа}}}у́лись\n|Вы (повел.)={{{основа}}}и́тесь\n|Он/она/оно ={{{основа}}}ётся\n|Он/она/оно (прош.)={{{основа}}}у́лся<br />{{{основа}}}у́лась<br />{{{основа}}}у́лось\n|Они        ={{{основа}}}у́тся\n|Они (прош.)={{{основа}}}у́лись\n|ПричНаст   = {{{основа}}}у́щийся\n|ПричПрош   = {{{основа}}}у́вшийся\n|ДеепрНаст  = {{incorrect|{{{основа}}}я́сь}}\n|ДеепрПрош  = {{{основа}}}у́вшись\n|Будущее    = буду/будешь... {{{основа}}}у́ться\n|Инфинитив = {{{основа}}}у́ться\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|дореф={{{дореф|}}}\n|спряжение=3b\n|вид=н\n|возвратный=1\n|НП=1\n|соотв={{{соотв|}}}\n|соотв-мн={{{соотв-мн|}}}\n}}', NULL
'5385', 'Гл_ru_3c', '10', '8452', '20150316132336', '2015/03/16 13:23:36', '8438', '{{Гл-блок\n<noinclude>|шаблон-кат=1</noinclude>\n|Я          ={{{основа}}}\n|Я (прош.)  ={{{основа}}}л<br />{{{основа}}}ла\n|Мы         ={{{основа1}}}ем\n|Мы (прош.) ={{{основа}}}ли\n|Ты         ={{{основа1}}}ешь\n|Ты (прош.) ={{{основа}}}л<br />{{{основа}}}ла\n|Ты (повел.)={{{основа2}}}и́\n|Вы         ={{{основа1}}}ете\n|Вы (прош.) ={{{основа}}}ли\n|Вы (повел.)={{{основа2}}}и́те\n|Он/она/оно ={{{основа1}}}ет\n|Он/она/оно (прош.)={{{основа}}}л<br />{{{основа}}}ла<br />{{{основа}}}ло\n|Они        ={{{основа1}}}ут\n|Они (прош.)={{{основа}}}ли\n|ПричНаст   = {{{основа1}}}ущий\n|ПричПрош   = {{{основа}}}вший\n|ДеепрНаст  = {{-}}\n|ДеепрПрош  = {{{основа}}}в, {{{основа}}}вши\n|ПричСтрад  = {{{основа1}}}утый\n|Будущее    = буду/будешь... {{{основа}}}ть\n|Инфинитив = {{{основа}}}ть\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|дореф={{{дореф|}}}\n|спряжение=3c\n|вид=н\n|НП={{{НП|}}}\n|соотв={{{соотв|}}}\n|соотв-мн={{{соотв-мн|}}}\n}}', NULL
'5388', 'Гл_ru_3c-ся', '10', '8455', '20170708093148', '2017/07/08 09:31:48', '8441', '{{Гл-блок\n<noinclude>|шаблон-кат=1</noinclude>\n|Я          ={{{основа}}}сь\n|Я (прош.)  ={{{основа}}}лся<br />{{{основа}}}лась\n|Мы         ={{{основа1}}}емся\n|Мы (прош.) ={{{основа}}}лись\n|Ты         ={{{основа1}}}ешься\n|Ты (прош.) ={{{основа}}}лся<br />{{{основа}}}лась\n|Ты (повел.)={{{основа2}}}и́сь\n|Вы         ={{{основа1}}}етесь\n|Вы (прош.) ={{{основа}}}лись\n|Вы (повел.)={{{основа2}}}и́тесь\n|Он/она/оно ={{{основа1}}}ется\n|Он/она/оно (прош.)={{{основа}}}лся<br />{{{основа}}}лась<br />{{{основа}}}лось\n|Они        ={{{основа1}}}утся\n|Они (прош.)={{{основа}}}лись\n|ПричНаст   = {{{основа1}}}ущийся\n|ПричПрош   = {{{основа}}}вшийся\n|ДеепрНаст  = {{{основа2}}}я́сь\n|ДеепрПрош={{{основа}}}вшись\n|Будущее    = буду/будешь... {{{основа}}}ться\n|Инфинитив = {{{основа}}}ться\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|дореф={{{дореф|}}}\n|спряжение=3c\n|вид=н\n|возвратный=1\n|НП=1\n|соотв={{{соотв|}}}\n|соотв-мн={{{соотв-мн|}}}\n}}', NULL
'5389', 'Гл_ru_3°a', '10', '8456', '20150316132326', '2015/03/16 13:23:26', '8442', '{{Гл-блок\n<noinclude>|шаблон-кат=1</noinclude>\n|Я          ={{{основа}}}ну\n|Я (прош.)  ={{{основа}}}<br />{{{основа}}}ла\n|Мы         ={{{основа}}}нем\n|Мы (прош.) ={{{основа}}}ли\n|Ты         ={{{основа}}}нешь\n|Ты (прош.) ={{{основа}}}<br />{{{основа}}}ла\n|Ты (повел.)={{{основа}}}ни\n|Вы         ={{{основа}}}нете\n|Вы (прош.) ={{{основа}}}ли\n|Вы (повел.)={{{основа}}}ните\n|Он/она/оно ={{{основа}}}нет\n|Он/она/оно (прош.)={{{основа}}}<br />{{{основа}}}ла<br />{{{основа}}}ло\n|Они        ={{{основа}}}нут\n|Они (прош.)={{{основа}}}ли\n|ПричНаст   = {{{основа}}}нущий\n|ПричПрош   = {{{основа}}}ший\n|ДеепрНаст  = —\n|ДеепрПрош   = {{{основа}}}ши\n|ПричСтрад  = —\n|ПричСтрадПрош  = —\n|Инфинитив = {{{основа}}}уть\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|дореф={{{дореф|}}}\n|спряжение=3°a\n|вид=н\n|НП={{{НП|}}}\n|соотв={{{соотв|}}}\n|соотв-мн={{{соотв-мн|}}}\n}}', NULL
'5390', 'Гл_ru_3°a((5)(6))-г', '10', '8457', '20220502190314', '2022/05/02 19:03:14', '8443', '{{Гл-блок\n<noinclude>|шаблон-кат=1</noinclude>\n|Я          ={{{основа}}}ну\n|Я (прош.)  ={{{основа}}}нул ({{{основа}}}л)<br />{{{основа}}}ла\n|Мы         ={{{основа}}}нем\n|Мы (прош.) ={{{основа}}}ли\n|Ты         ={{{основа}}}нешь\n|Ты (прош.) ={{{основа}}}нул ({{{основа}}}л)<br />{{{основа}}}ла\n|Ты (повел.)={{{основа}}}нь\n|Вы         ={{{основа}}}нете\n|Вы (прош.) ={{{основа}}}ли\n|Вы (повел.)={{{основа}}}ньте\n|Он/она/оно ={{{основа}}}нет\n|Он/она/оно (прош.)={{{основа}}}нул ({{{основа}}}л)<br />{{{основа}}}ла<br />{{{основа}}}ло\n|Они        ={{{основа}}}нут\n|Они (прош.)={{{основа}}}ли\n|ПричНаст   = {{{основа}}}нущий\n|ПричПрош   = {{{основа}}}нувший, {{{основа}}}вший\n|ДеепрНаст  = —\n|ДеепрПрош  = {{{основа}}}в, {{{основа}}}вши, {{{основа}}}нув, {{{основа}}}нувши \n|ПричСтрад  = {{{ПричСтрад|—}}}\n|ПричСтрадПрош  = {{{ПричСтрадПрош|—}}}\n|Будущее    = буду/будешь... {{{основа}}}нуть\n|Инфинитив = {{{основа}}}нуть\n|hide-text={{{hide-text|}}}\n|слоги={{{слоги|}}}\n|дореф={{{дореф|}}}\n|спряжение=3°a((5)(6))\n|зализняк=3°a[⑤⑥]\n|вид=н\n|НП={{{НП|}}}\n|соотв={{{соотв|}}}\n|соотв-мн={{{соотв-мн|}}}\n}}{{Категория|Русские изобилующие глаголы}}', NULL
